ID экзамена;ID вопроса;Оценка экзаменатора
3374052;30629078;1
3373880;30626097;2
3420189;31491778;2
3431461;31706138;1
3379258;30726161;1
3394829;31010938;2
3426704;31614107;2
3407402;31244238;2
3396660;31044430;2
3400677;31121158;1
3402905;31170782;1
3394249;30999466;1
3433058;31732390;2
3407895;31253111;1
3391284;30949364;1
3431803;31711847;1
3399186;31091197;0
3436593;31803795;2
3379253;30725969;1
3389193;30909712;1
3429201;31665269;1
3394514;31005020;1
3377204;30686164;2
3409543;31278908;1
3399441;31097520;1
3410700;31302018;1
3411732;31323476;2
3442415;31910409;0
3382158;30781029;1
3389192;30909674;1
3386359;30858268;2
3407757;31250243;1
3385024;30833391;2
3422763;31539994;2
3410737;31302863;2
3383832;30811235;2
3428251;31644612;1
3433046;31731949;1
3398024;31068284;2
3417100;31424676;2
3445753;31971195;2
3398296;31074361;1
3404611;31196802;1
3438029;31831631;1
3383065;30797468;2
3386731;30865757;0
3390366;30931526;1
3396445;31040466;0
3392200;30965934;1
3385115;30834985;2
3391580;30954706;1
