Unnamed: 0,Id экзамена,Id вопроса,№ вопроса,Текст вопроса,Картинка из вопроса,Транскрибация ответа,Ссылка на оригинальный файл запис
0,3374052,30629078,1,<p>Добро пожаловать на экзамен! <br>Вопрос устной части экзамена. Начните диалог.<br><strong>Вы не можете найти дорогу к автобусной остановке. Узнайте у прохожего </strong><strong>путь к автобусной остановке.</strong></p>,,"Так, я читаю задание, вы его видите перед глазами, оно у вас. И нужно будет... На него реагировать. Так, начните диалог. Вы не можете найти дорогу к автобусной остановке. Узнайте у прохожего путь к автобусной остановке. Я прохожий. Здравствуйте, не подскажете... Как пройти к остановке... Ну, металлург. А у вас какая остановка интересует? Какого транспорта? У меня транспорт 66-го, ну, еще так. Автобус? Да. Бульвар 1. Бульвар 1. Так, если вам нужна автобусная остановка, чтобы доехать до бульвара Героев, вы должны сейчас пройти буквально 3-4 дома вперед, и там справа вы ее увидите. Все, спасибо, Леонид Семенович. Пожалуйста. Пожалуйста.",https://storage.yandexcloud.net/odin-exam-files-dataset/72a84e48-438e-4fbf-b3ee-cfa4ff1a7828-0.MP3
1,3373880,30626097,4,"<p>Вопрос устной части экзамена. Опишите картинку.</p>
<p><strong>Ваше сообщение должно содержать следующую информацию. </strong><br><strong>– Что изображено на фотографии (место и т.д.)? </strong><br><strong>– Кто изображён на фотографии? </strong><br><strong>– Что делают эти люди? </strong><br><strong>– Расскажите подробнее о любом человеке на фотографии. </strong><br><strong>– А Вы любите/умеете рисовать? </strong><br><strong>– Как Вы можете помочь ребёнку научиться рисовать?</strong></p>
<p><strong><img src=""https://storage-public.odin.study/86963d8a-6422-4f3c-a9a2-bf561991697b.PNG"" width=""816"" height=""544""></strong></p>",https://storage-public.odin.study/86963d8a-6422-4f3c-a9a2-bf561991697b.PNG,"Ну что ж, дальше вам нужно будет описать картинку. Когда вы будете ее описывать, ваше сообщение должно содержать следующую информацию. Что изображено на фотографии? Место и так далее. Кто изображен на фотографии и что делают эти люди? Расскажите подробнее о любом человеке на фотографии. Ну и вопрос будет к вам. А вы любите, умеете рисовать? И как вы можете помочь ребенку научиться рисовать? На данной картинке видна женщина с ребенком. То есть это, скорее всего, мать и ребенок. Сидят они за столом. За столом краски. Они довольны, радостны. Что еще можно сказать о картинке? Ребенок прикладывает пальчиком матери к носу. Мать смеется, улыбается. А ребенок так пристально, настойчиво смотрит. Как вы думаете, это мальчик или девочка? Я думаю, что это девочка. Почему? Ну, похоже на девочку, так как такие нежные, мягкие черты лица. Как у женщины. Хорошо. Так, вопрос к вам. Вы любите, умеете рисовать? Ну, личность я не творческая, конечно. Но что-то срисовать я могу. Вам нравилось рисовать с детства? Да. Это прививалось, наверное, со школы. То есть у нас были уроки рисования. И мне нравилось рисовывать. А какое у вас образование? У меня среднее образование. А вот представим, как вы можете помочь ребенку научиться рисовать? Именно тут заниматься. Нужно сидеть рядом с ребенком. Также рисовать, чтобы ребенок перенимал это. И потихонечку его направлять в образование. Я думаю, что получится. То есть, во-первых, должен у ребенка быть интерес. Если ему интересно, конечно. И он будет этим заниматься. У вас есть братья и сестры? Да, у меня есть младшая сестра. Она рисует? Нет, к сожалению. А почему? Ну, не знаю. Она больше любит писать. Она, кстати, стихи может... Какие-то свои стихи у нее есть. Она свои стихи пишет. Ну, это не публиковалось. То есть, для себя. А ваши родители? Отца, к сожалению, уже нет в живых. У меня осталась одна мама. Вот. Мама не творческий человек. Мама у меня полужа. Ну, это тоже творчество. Своего рода, да. Можно и так сказать. Да, сквозь саму гамму передавать. Это еще творчество. Хорошо. Вы любите путешествовать? Да, я люблю путешествовать. Но, как не то, так как я работаю, у меня очень много забот в связи с уходом отца. И мне приходится все делать самому. Не получается этого делать. Как таково. А кем вы работаете? Я работаю водителем. У вас немечная фамилия. Она что-то означает? Откуда? Она не склоняется к фамилии. По падежам это молдавская фамилия. Оттуда укоренена. Вы пытались найти своих там родственников? Да, есть у меня родственники. Как бы я сначала думал это однофамильцы. Но, на самом деле, это не однофамильцы. Это через какие-то поколения родственники. Она что-то обозначает, ваши фамилии? Ну, я как-то хотел найти информацию. Но, как таковой, я не нашел, что она означает. Так, вот я спросила, вас любят ли путешествовать герои уже пополам? Я побывал в Европе. В Европе? Это какие страны? Это Словакия, Чехия, Польша, Германия, Франция, Италия. Где вам понравилось больше? Самое большее мне понравилось, наверное, в Италии. Почему? Ну, там как-то пейзаж красочный, бананы, мандарины, пляжи. Наверное, этим понравилось. И вам удалось посетить какие-нибудь музеи? Нет, к сожалению. К сожалению, не получилось. Какие-нибудь достопримечательности? К сожалению, не пришлось, так как времени было очень мало. Я работал там, и по совместительству с этим пришлось вот так вот побывать в тех странах. А куда вы еще хотели бы поехать? Я вообще мечтал провести тур по Енисею. От пусти до конца. Ну, по крайней мере, это все, что мечта. Ну, я думаю, в дальнейшем это у меня обязательно получится. Вы планируете самостоятельно или все-таки как-то организованно? Нет, самостоятельно я не думал за это, конечно. А вот обратиться в специальную организацию, которая этим занимается. Я думаю, что это будет очень удобно. Ясно. Так, спасибо.",https://storage.yandexcloud.net/odin-exam-files-dataset/82317c7d-55e2-4ef9-b331-a027514023cf-3.MP3
2,3420189,31491778,2,"<p>Вопрос устной части экзамена. Примите участие в диалоге. Ответьте на вопросы собеседника полными предложениями.</p>
<p> </p>
<p><strong>– Что Вы делаете, когда у Вас есть свободное время? Чем увлекаетесь? </strong><br><strong>– ... </strong><br><strong>– Скажите, пожалуйста, какой вид спорта Вам нравится? Занимаете</strong><strong>сь ли Вы спортом? Если да, то каким? </strong><br><strong>– ... </strong><br><strong>– Какие праздники Вы любите праздновать?<br>– ... <br>– Какие фильмы Вы обычно </strong><strong>смотрите? Где Вы любите смотреть фильмы: в кинотеатре или дома? </strong><br><strong>– ...</strong></p>",,"Сейчас я буду задавать вам вопросы, а ваша задача – отвечать на них полными предложениями. Скажите, что вы делаете, когда у вас есть свободное время? Когда у меня есть свободное время, я читаю. Люблю бумажные книги, то есть не из цифровых носителей, а живую книгу, которую можно полистать и насладиться, так сказать, процессом чтения. Отлично. А есть ли у вас какой-то любимый жанр или любимый писатель? Нет. Последнее время я больше читаю... книги не из художественной литературы, а, скажем, познавательные. Психология, философия, в этом плане. Отлично. Какую книгу вы можете посоветовать? Какая книга вам понравилась? Иногда я перечитываю Антона Павловича Чехова. Мне очень нравятся его рассказы, очень рекомендую. У него отличный легкий стиль. Хорошо, спасибо. Скажите, а вы занимаетесь спортом? Ну, только в плане поддержки своего здоровья. Это зарядка, такие, скажем, получасовые тренировки ежедневно. То есть это фитнес? Ну, скажем так. А почему вам нравится этот вид спорта? Потому что он поддерживает меня в хорошей физической форме. Отлично. Спасибо большое. Хорошо, пойдем дальше. Скажите, какие праздники вы любите праздновать? Ну, король всех праздников – это Новый год, конечно. Это такое семейное торжество, какое-то есть в нем волшебство. Это традиция дарить подарки, собирать столбы. Отлично, хорошо. И последний вопрос. Скажите, какие фильмы вы обычно смотрите? Ну, какие фильмы? Ну, из художественных фильмов мне больше нравится фантастика. Может, даже научная фантастика. Вот из последних – это «Дюна» мне понравилась. А где вы обычно смотрите кино? В кинотеатре или дома? Нет, я не люблю кинотеатры, потому что там много попкорна, шума и каких-то эмоций, которые мне мутно. И они мне не близки. Я люблю просмотр на «Игне» или «Синьой». Прекрасно. Спасибо большое за ваши ответы. Пойдем дальше.",https://storage.yandexcloud.net/odin-exam-files-dataset/5d7a20fc-d0d5-46fe-aa26-5d54d0a6428a-1.MP3
3,3431461,31706138,1,<p>Добро пожаловать на экзамен! <br>Вопрос устной части экзамена. Начните диалог.<br><strong>Вы не можете найти дорогу к автобусной остановке. Узнайте у прохожего </strong><strong>путь к автобусной остановке.</strong></p>,,"Итак, добро пожаловать на экзамен. Читайте первое задание и задайте мне вопросы. Вопросы и ответы на вопросы, которые вы задавали в прошлом видео. Я прохожий, а вы хотите узнать, да? Пожалуйста. Вы не можете найти дорогу автобуса? Остановка автобуса? Вам нужна автобусная остановка. Вы куда едете? В центр? Я еду в центр. Да, вам надо пройти вперед 100 метров и там вы увидите автобусную остановку. Большое спасибо. Пожалуйста.",https://storage.yandexcloud.net/odin-exam-files-dataset/19946376-b172-44e0-8586-b0e767736041-0.MP3
4,3379258,30726161,3,"<p>Вопрос устной части экзамена. Начните диалог. Получите нужную Вам информацию. Будьте вежливы.</p>
<p><strong>Представьте ситуацию. Вы пришли в кассы железнодорожного вокзала. Вам нужно купить билеты на поезд до Ташкента. </strong><br><strong>Поздоровайтесь. Узнайте у кассира о наличии билетов, их стоимости. Спросите о скидке для детей. Поблагодарите за полученную информацию и оцените работу кассира.</strong></p>",,"Следующее ваше задание. Вам также нужно начать диалог. Получите нужную вам информацию. Будьте вежливы. Представьте ситуацию. Вы пришли в кассе железнодорожного вокзала. Вам нужно купить билеты на поезд до Ташкента. Здоровайтесь. Узнайте у кассира о наличии билетов и их стоимости. Спросите о скидке для детей. Поблагодарите за полученную информацию и оцените работу кассира. Тоже самое. Я работник. Здравствуйте. Здравствуйте. Мне нужно купить билет на поезд до Ташкента в ближайшее время. Какие билеты есть и какая у них стоимость? Билеты у нас имеются. Завтра на вечер вам подойдет. Билет стоит 10 000 рублей. Можно узнать, есть ли какая-то скидка для детей? Для детей до 14 лет скидка 50%. Будете брать билеты? Да, меня устраивает. Спасибо большое за полученную информацию. Хорошо.",https://storage.yandexcloud.net/odin-exam-files-dataset/0c21931b-efb4-44de-84d8-1c52af07d169-2.MP3
5,3394829,31010938,2,"<p>Вопрос устной части экзамена. Примите участие в диалоге. Ответьте на вопросы собеседника полными предложениями.<br><br></p>
<p><strong>– Вы живёте в квартире или доме? Где находится это место? </strong><br><strong>– ... </strong><br><strong>– Это старый или новый дом? Сколько у Вас комнат? </strong><br><strong>– ... </strong><br><strong>– У Вас есть балкон?Как и когда Вы им пользуетесь? </strong><br><strong>– ... </strong><br><strong>– Как Вы обычно делаете ремонт?Вы это делаете сами или делают специалисты? </strong><br><strong>– ...</strong></p>",,"Следующее наше задание... Сейчас камера чуть-чуть разфокусируется. Следующее наше задание это диалог. Сейчас я буду задавать вам вопросы, а ваша задача будет просто отвечать на них, поддерживать беседу. Скажите, пожалуйста, вы живете в квартире или в доме? На данный момент в квартире. В квартире. А эта квартира в малоэтажном или в многоэтажном доме? В малоэтажном. Где находится этот дом? В центре города, Калининград. На какой улице? На улице Свободная 8. Прекрасно. Скажите, пожалуйста, это старый или новый дом? Это старый дом. Хорошо, а на каком этаже ваша квартира? Квартира находится на втором этаже. А в доме есть лифт? В доме лифта нет. Скажите, пожалуйста, а в вашей квартире сколько комнат? В квартире две комнаты. А вы живете у отеля, не снимаете? Сейчас живу с отцом. Хм-хм, хорошо. Скажите, пожалуйста, а в вашей квартире есть лифт? есть балкон да есть просто закрытый не пользуюсь а почему то нет надобности поняла скажите пожалуйста вы давно живете в этой квартире буквально две недели ну еще не успели наверное сделать ремонт а планируете пока нет нет это ваша квартира это съемная квартира а если бы вдруг когда у вас какой-то будет свое жилье вам предстояло бы сделать ремонт вы бы наняли специалистов либо делали сайт такую работу которую не смог сам специалистов а то что сам по электрике отделочные отделочные отделочные работают некоторые смогут сам сделать это связано с вашей профессии или просто это только навыки просто а по профессии вы по профессии я автоэлектрик больше с машин но между электрикой здесь присутствует хорошо отлично скажите пожалуйста а если бы у вас были неограниченные ресурсы то где бы вы хотели жить вот место жительства вашей мечты это что дом на берегу моря квартира в центре москвы что это дом на берегу моря в калининграде здесь обустроиться расскажите какой это дом ваша мечта двухэтажный участок не слишком большой средний с гаражом у вас неограниченные ресурсы вы можете все что еще там должно быть газовый бассейн газовый бассейн беседка газовый бассейн гаража будет полный ящик инструментов подъемник обустроенный гараж гараж",https://storage.yandexcloud.net/odin-exam-files-dataset/53577ff2-5eed-409b-b0cd-268ce28d8353-1.MP3
6,3426704,31614107,2,"<p>Вопрос устной части экзамена. Примите участие в диалоге. Ответьте на вопросы собеседника полными предложениями.</p>
<p><strong>– Как зовут Вашего лучшего друга или подругу? Где Вы познакомились? Какой Ваш друг/подруга (внешность, характер, хобби)? </strong><br><strong>– … </strong><br><strong>– Как Вы обычно проводите свой отпуск? Где Вы отдыхали в последний раз? Что Вам больше всего понравилось? </strong><br><strong>– … </strong><br><strong>– Чем занимаются Ваши родные (родители, братья, сёстры)? Вы часто встречаетесь? Что Вы обычно делаете вместе? </strong><br><strong>– …</strong></p>",,"Примите участие в диалоге. Ответьте на вопросы. Если нет вашего официального номера и заявлений, existem нужные мобюты, website и секретные guitars. Росло у меня 108 см. Вместе играем в компьютерные игры. Как Вы обычно проводите свой отпуск? Где Вы отдыхали в последний раз? Что Вам больше всего понравилось? Я ездил себе домой. Отдыхал я со своей семьей. Семь домиков, которые мы купили. Это было позавтра. Мне больше всего понравилось. С младшей сестрой проводить время. Креативно. Чем занимаются Ваши родные? Родители, братья, сестры? Вы часто встречаете? Что Вы обычно делаете? Мы встречаемся раз в год. Когда я езжу домой. Мама работает крыночком на заводе. Есть два брата. Один сейчас работает. Другой тоже. Мы общаемся. Время проводим. Когда родители на работе, я проживаю с ними.",https://storage.yandexcloud.net/odin-exam-files-dataset/c6574aba-cf51-43ab-a626-c00e9b37b6ec-1.MP3
7,3407402,31244238,4,"<p>Вопрос устной части экзамена. Опишите картинку.</p>
<p><img src=""https://storage-public.odin.study/6383f52e-5d09-41ae-ad2d-81179b549d10.PNG"" width=""716"" height=""414""></p>
<p><strong>Ваше сообщение должно содержать следующую информацию: </strong><br><strong>– Что изображено на рисунке (место, время года и т.д.)? </strong><br><strong>– Кто изображён на рисунке? </strong><br><strong>– Что они делают? </strong><br><strong>– Расскажите подробнее о любом человеке, изображённом на рисунке. </strong><br><strong>– А Вы любите путешествовать? </strong><br><strong>– Где Вы уже побывали?</strong></p>",https://storage-public.odin.study/6383f52e-5d09-41ae-ad2d-81179b549d10.PNG,"Последнее задание. Смотрите, у Вас есть картинка, есть список вопросов. Ознакомьтесь, пожалуйста, и рассказывайте. Это будет Ваш монолог. Ну, судя по всему, это автовокзал какой-то, либо жилой вокзал у нас. Соответственно, люди приезжают, уезжают, кто-то прощается, судя по картинке, по изображению слева. Парень с девушкой, скорее всего, прощаются, куда-то из них уезжает. Опять же, видно семью. Мама, папа, дети. Счастливая собака. Откуда-то приехали, скорее всего, ждут кого-то. Что будет за дом? Что еще? Ну, непонятно. Ребенок, либо взрослый бежит, скорее всего, к поезду, потому что там у нас нарисованы пути. Путь 2, путь 3. Скорее всего, опаздывает на поезд. Женщина с чемоданами у нас сильно независимая, судя по всему. Любит путешествовать, очень много у нее вещей с собой. Туристов не ждет. И вот, как я сказал, это отдых под аппарат, то есть будут снимать атласы. Да, скорее всего, где-то на речку может быть, на природу. Случайно на природу собрались. Такой небольшой кемпинг, скорее всего, будет у них. Где можно будет фотографировать. Где можно будет фотографировать на природу. Отлично. И последние два вопроса. Попутешествовать. Да нет, скорее всего, домосед. Но может быть, да, если вы подсоединяете тот же самый пруд, речка. Почему бы нет? Отдохнуть с семьей, построить небольшие шашлыки. Можно будет на день-два, полтора суток. Опять же, где я побывал? К сожалению, нигде. Ну, может быть, где-то в вашей родной стране. Ну, в родной стране у нас особо-то и ездить некуда. Да, есть на зерна месяц, там выезжаем, то есть, на праздники. У нас есть прекрасное место, как и Суккулита. Озеро наше любимое, где мы любим отдыхать. Прекрасно. А в Калининградской области? В Калининградской области мы еще никуда, кстати, не успели поездить. Мы только вот максимум здесь прошлись положительные примечания. Тщательно с тем городским посмотрели. Планируем, да, съездить на море. Нам будет время позволять. Работа. Думаю, в ближайшее время на выходных можно будет съездить. Отлично. Прекрасный план. Спасибо большое вам.",https://storage.yandexcloud.net/odin-exam-files-dataset/36c3189c-7b59-4d20-bddd-08ee2f3f9eaa-3.MP3
8,3396660,31044430,4,"<p>Вопрос устной части экзамена. Опишите картинку.</p>
<p> </p>
<p><strong>Ваше сообщение должно содержать следующую информацию. </strong><br><strong>– Что изображено на рисунке (место, время года и т.д.)? </strong><br><strong>– Кто изображён на рисунке? </strong><br><strong>– Что они делают? </strong><br><strong>– Расскажите подробнее о любом человеке, изображённом на рисунке. </strong><br><strong>– Сколько детей в вашей семье? Расскажите о них. </strong><br><strong>– Как Вы играете с детьми?</strong></p>
<p><strong><img src=""https://storage-public.odin.study/37a54d41-aade-4da2-a13d-6ab7d3ef8035.PNG"" width=""700"" height=""507""></strong></p>",https://storage-public.odin.study/37a54d41-aade-4da2-a13d-6ab7d3ef8035.PNG,"картинку ваше сообщение должно содержать следующий информатор что изображено на рисунке место и время года кто изображен на рисунке что они делают расскажите подробно любому человеку изображенном на рисунке сколько детей вашей семьи скажите о них и как вы играете здесь вопрос вам нужно время подниматься посмотреть хорошо видно да потому что я здесь уже с на рисунке дома дома бабушки дедушки вот они дочь дочь вот пришло гости дедушку бабушка дедушка играет со внуками а вот там это вот мама она вот накрывать стол бабушка чай и чай и здесь семья у них четверо детей старший сын и две дочки и мальчик ребенок время года лето летом дедушки бабушки дети interrogать мальчика Speed sing читаю как удается это он все不會 с детьми под omin enjoyed мы будем всем EtN box Дедушка играет со младшим внуком. Младшему внуку здесь годик. Играет с армадами. Сколько детей у Вас в семи лет? Скажите мне, как Вы играете с детьми? У меня семья, 6 человек, жена и 4 сына. У меня три дочки. После сына у меня двойняшки. Замечательно. В Балансе Морген Обама. Сыну сейчас 30 лет. А дочерям 24. Все они сейчас замужем. Дети у них нет. У меня сейчас шестеро внуков. О, какая у Вас большая семья. Хорошо, замечательно. Я с вами. Играете с внуками? Да. Как? Расскажите. Два мальчика и четыре девочки. Я очень люблю своих внуков. Играю с ними, когда они могут. Они ходят к нам домой. С сыном живем вместе. У него сын и дочка. Да. Играем вместе. В этом году пошел в школу первый класс. Хорошо. Спасибо. Вы ответsstе на вопросы из этой части. Можем завершать экзамен. Хотите что-то дополнить? Нет. Спасибо Вам. Вам спасибо. Пытаюсь. Спасибо. Спасибо Вам. Спасибо Вам. Спасибо. Спасибо Вам.",https://storage.yandexcloud.net/odin-exam-files-dataset/4e1f3cc5-ed7a-45a0-842e-28e700968c65-3.MP3
9,3400677,31121158,1,"<p>Добро пожаловать на экзамен! <br>Вопрос устной части экзамена. Начните диалог.</p>
<p><strong>Вы увидели объявление о работе и хотите получить её. Позвоните и узнайте, какие требования предъявляет работодатель к соискателю. </strong></p>",,"Вы увидели объявление о работе и хотите получить ее. Позвоните и узнайте, какие требования предъявляет работодатель к соискателю. То есть представьте, что я работодатель, вам нужно позвонить мне и со мной заговорить. Добрый день. Здравствуйте. Здравствуйте. Я по поводу работы. Хотела бы узнать поподробнее. Какие у вас есть вакансии? У нас есть вакансия оператор на АЗС, график работы 2 через 2, 12-часовой рабочий день. По зарплате на первое время 35 тысяч рублей. У вас есть какие-то дополнительные выплаты, например, по вредности? А еще хотелось бы спросить по поводу, например, отпуску на их... Дополнительных средств. Там выделяются определенные премии. Это все обговаривается индивидуально. По второму вопросу, да. То есть раз в полгода на неделю в струнке под выпуск. Приходите, пообщаемся. До свидания. До свидания.",https://storage.yandexcloud.net/odin-exam-files-dataset/0537d9a7-7fca-4b55-827c-a0173ee9271a-0.MP3
